Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-April-2022,2249.70,2255.00,2141.35,2170.65,2224.941072678044476894,98613,4547,219408114.00,32001,32.45,113.65,-79.05
18-April-2022,2185.90,2239.90,2157.00,2232.95,2205.414770482736825472,50628,3550,111655739.00,9435,18.64,82.90,47.05
13-April-2022,2213.00,2216.15,2174.25,2198.80,2199.963509204232497463,82788,4988,182130579.00,31533,38.09,41.90,-14.20
12-April-2022,2192.00,2219.05,2156.00,2198.25,2191.994564999799815830,99908,5874,218997793.00,14685,14.70,63.05,6.25
11-April-2022,2294.00,2294.00,2159.80,2178.65,2179.090369042532125772,95951,5558,209085900.00,28383,29.58,134.20,-115.35
8-April-2022,2109.60,2175.95,2105.90,2170.70,2143.804989489038568793,93236,5075,199879802.00,10453,11.21,70.05,61.10
7-April-2022,2169.00,2215.00,2081.80,2098.60,2143.436421482030044392,241709,13920,518087874.00,49521,20.49,133.20,-70.40
6-April-2022,2157.00,2182.75,2125.60,2160.00,2159.411345047346285832,155028,9307,334769222.00,32653,21.06,57.15,3.00
5-April-2022,2071.00,2198.00,2067.85,2141.85,2137.625251491705085018,260943,12559,557798346.00,20296,7.78,130.15,70.85
4-April-2022,2058.00,2076.00,2032.15,2065.60,2060.682492560168732483,138444,7150,285289127.00,30489,22.02,43.85,7.60
1-April-2022,2016.00,2048.70,2014.00,2044.25,2032.269231565651336632,96586,5202,196288756.00,22837,23.64,34.70,28.25
31-March-2022,2014.90,2042.20,1990.00,2015.70,2011.647336218474854499,100515,5413,202200732.00,13254,13.19,52.20,0.80
30-March-2022,1930.00,2014.20,1918.00,1993.95,1953.204074350876347067,207395,7425,405084759.00,24839,11.98,96.20,63.95
29-March-2022,1923.80,1930.00,1886.05,1915.85,1912.296729934112009583,106848,4149,204325081.00,20723,19.39,43.95,-7.95
28-March-2022,1875.00,1924.00,1850.60,1908.55,1874.425005923285529526,1325278,7585,2484134223.00,1219079,91.99,73.40,33.55
25-March-2022,1851.65,1899.00,1822.20,1869.60,1868.587245860889045741,325855,2531,608888497.00,280052,85.94,76.80,17.95
24-March-2022,1812.00,1838.85,1800.00,1832.65,1821.938478495591146301,44456,2506,80996097.00,14611,32.87,38.85,20.65
23-March-2022,1844.50,1849.70,1801.35,1812.10,1820.554050947693979478,47853,2343,87118973.00,9497,19.85,48.35,-32.40
