Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-October-2022,3209.50,3234.95,3138.00,3212.10,3207.953179118096160291,429616,3986,1378188013.00,375384,87.38,96.95,2.60
14-October-2022,3261.05,3304.50,3194.10,3208.00,3244.326697498423376077,47570,3152,154332621.00,5937,12.48,110.40,-53.05
13-October-2022,3219.75,3262.00,3189.00,3233.60,3226.182950690006868846,96086,6558,309991015.00,12551,13.06,73.00,13.85
12-October-2022,3310.00,3310.00,3141.10,3224.25,3206.592511236182532291,98788,6586,316772861.00,9609,9.73,168.90,-85.75
11-October-2022,3253.15,3338.00,3250.55,3273.35,3296.024367519529850211,97671,7161,321925996.00,20957,21.46,87.45,20.20
10-October-2022,3235.00,3277.90,3216.00,3247.40,3247.593885501727818986,45433,3619,147547933.00,5317,11.70,61.90,12.40
7-October-2022,3285.00,3308.85,3227.55,3277.50,3271.654873179363854984,88156,6140,288416007.00,18580,21.08,81.30,-7.50
6-October-2022,3261.00,3317.50,3207.35,3285.90,3273.315866075813064648,169021,9260,553259121.00,66056,39.08,110.15,24.90
4-October-2022,3234.00,3290.00,3125.95,3238.40,3225.594948319046107171,170082,11329,548615640.00,16478,9.69,164.05,4.40
3-October-2022,3454.00,3459.05,3105.90,3157.15,3255.988946674890658293,285344,17582,929076910.00,43319,15.18,353.15,-296.85
30-September-2022,3451.00,3524.00,3370.45,3451.00,3460.024245736576108009,333007,14853,1152212294.00,165739,49.77,153.55,0.00
29-September-2022,3577.00,3662.25,3426.30,3472.00,3537.753239266042869467,241104,15949,852966457.00,98787,40.97,235.95,-105.00
